,player_display_name,year_signed,games,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,receptions,targets,receiving_yards_after_catch,receiving_first_downs,receiving_epa,target_share,fantasy_points,mean_adj_salary_per_year,med_adj_salary_per_year,salary_per_year,smoothed_salary_per_year,predicted_median_salary
0,Derrick Henry,2024.0,17.0,280.0,1167.0,12.0,0.0,0.0,63.0,-2.098503159038166,28.0,36.0,275.0,7.0,3.1744809493247885,0.0841121495327102,218.66000000000005,4.088870991217314,15.592538349215944,8.0,9.225232560911165,15.117490383732735
1,Christian McCaffrey,2024.0,19.0,331.0,1727.0,18.0,3.0,3.0,98.0,12.050966434035216,86.0,108.0,603.0,36.0,7.789991768994026,0.1967213114754098,394.3,10.536876924534228,39.67367865688535,19.0,23.530694418725723,51.41553236436787
2,Austin Ekeler,2024.0,14.0,179.0,628.0,5.0,3.0,2.0,34.0,-41.1234789901547,51.0,74.0,533.0,21.0,-13.322743022098864,0.147117296222664,134.4,1.8701707677987207,7.306436888804241,4.215,4.302853185290429,10.993954957058985
3,Alvin Kamara,2024.0,13.0,180.0,694.0,5.0,0.0,0.0,42.0,-3.1450200827093795,75.0,86.0,501.0,23.0,2.298240115110629,0.1898454746136865,158.0,6.5801460109079395,24.89661528627003,12.25,14.7523428241577,19.651928644223428
4,J.K. Dobbins,2024.0,1.0,8.0,22.0,1.0,0.0,0.0,1.0,-1.840594887675252,2.0,3.0,15.0,0.0,0.519200186652597,0.1428571428571428,9.7,0.3431657263177604,1.6035850250334405,1.61,0.9150597180534368,10.764993055552317
5,Zack Moss,2024.0,14.0,183.0,794.0,5.0,0.0,0.0,43.0,-14.03089295560622,27.0,37.0,189.0,10.0,0.8567418099310662,0.0976253298153034,142.6,1.744141560920254,6.835760055517976,4.0,4.023246430796781,6.601453964714078
6,A.J. Dillon,2024.0,17.0,186.0,770.0,7.0,0.0,0.0,47.0,2.279668071002535,28.0,43.0,203.0,9.0,-5.830161560658805,0.0957683741648107,139.6,1.0070172462706155,4.082847879436677,2.7425,2.3878720411420717,7.245934958953582
7,D'Andre Swift,2024.0,17.0,239.0,1083.0,5.0,2.0,0.0,52.0,-0.5005909102769057,43.0,53.0,293.0,9.0,-8.210561708618526,0.1152173913043478,166.9,4.088870991217314,15.592538349215944,8.0,9.225232560911165,15.360137329701999
8,Antonio Gibson,2024.0,16.0,65.0,265.0,1.0,1.0,1.0,13.0,-6.735830693331081,48.0,59.0,377.0,19.0,0.8663656756786648,0.1055456171735241,79.4,1.5975959715266876,6.288461412161852,3.75,3.698122297664632,7.1761836782821575
9,Clyde Edwards-Helaire,2024.0,19.0,81.0,276.0,1.0,1.0,1.0,15.0,-17.67299463690142,21.0,26.0,247.0,8.0,3.2245448109770884,0.0533880903490759,57.1,0.3959221384994442,1.8006125366416443,1.7,1.0321044059810105,2.9382876298885323
