,player_display_name,year_signed,games,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,receptions,targets,receiving_yards_after_catch,receiving_first_downs,receiving_epa,target_share,fantasy_points,salary_per_year,smoothed_salary_per_year,predicted_smoothed_salary
95,Craig Reynolds,2024.0,7.0,42.0,180.0,2.0,1.0,1.0,12.0,-2.451461628457764,5.0,5.0,59.0,2.0,2.8365457532927394,0.0316455696202531,32.699999999999996,1.125,0.2843188997770676,0.21769250884728378
96,D'Ernest Johnson,2024.0,15.0,41.0,108.0,0.0,0.0,0.0,5.0,-13.305333968893583,10.0,12.0,136.0,6.0,9.814723854260428,0.044776119402985,24.8,1.275,0.4793933796563569,0.20548892844627467
97,David Montgomery,2024.0,17.0,258.0,1198.0,15.0,2.0,1.0,70.0,11.084020125523432,22.0,31.0,184.0,11.0,-5.43685761874076,0.0655391120507399,226.0,9.125,10.688291160005836,9.802698427954125
98,Josh Jacobs,2024.0,13.0,233.0,805.0,6.0,2.0,1.0,34.0,-44.319291594730835,37.0,54.0,293.0,15.0,-0.3965485799516974,0.1417322834645669,144.1,12.0,14.42721869102555,5.171337230332355
99,James Robinson,2024.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,-0.4817213636124506,1.0,1.0,1.0,0.0,-1.1249163909815252,0.0285714285714285,0.0,1.055,0.1932841425000658,-0.012913333921828281
100,Tony Jones,2024.0,6.0,26.0,95.0,2.0,0.0,0.0,7.0,1.6878569997206796,7.0,10.0,44.0,1.0,-4.623583573488871,0.0854700854700854,25.2,1.055,0.1932841425000658,0.20880109128799657
104,Patrick Taylor,2024.0,11.0,35.0,147.0,0.0,0.0,0.0,7.0,-5.151838086149856,11.0,17.0,59.0,4.0,-5.777341604611138,0.0648854961832061,19.6,1.055,0.1932841425000658,0.06928225173304564
106,Salvon Ahmed,2024.0,7.0,22.0,61.0,1.0,0.0,0.0,3.0,-0.2332644760026596,16.0,23.0,109.0,4.0,-10.489007843163565,0.0927419354838709,26.9,1.2925,0.5021520689756075,-0.032872019681679375
107,Rico Dowdle,2024.0,17.0,91.0,372.0,2.0,0.0,0.0,17.0,-5.4031036363220455,19.0,25.0,183.0,8.0,7.090250242752676,0.05175983436853,79.0,1.255,0.453383449005785,0.5594945921525748
110,La'Mical Perine,2024.0,2.0,22.0,77.0,0.0,0.0,0.0,3.0,-2.3794992521381046,3.0,5.0,32.0,1.0,-0.1560670422040857,0.087719298245614,11.0,1.055,0.1932841425000658,0.05508318280799166
112,Darrynton Evans,2024.0,6.0,32.0,121.0,1.0,0.0,0.0,10.0,0.6038455819798321,7.0,12.0,69.0,2.0,-5.2291400569987045,0.081081081081081,23.0,1.055,0.1932841425000658,0.14336940463109665
120,Ke'Shawn Vaughn,2024.0,5.0,24.0,42.0,0.0,0.0,0.0,0.0,-11.136832802963909,2.0,5.0,1.0,0.0,-4.583285461587366,0.036231884057971,4.4,1.125,0.2843188997770676,-0.016452988161225875
122,Deon Jackson,2024.0,2.0,14.0,16.0,0.0,1.0,1.0,1.0,-11.443214091501432,5.0,6.0,20.0,0.0,-8.510520981624722,0.1538461538461538,-0.9999999999999998,1.055,0.1932841425000658,1.8952912382726836
128,Jake Funk,2024.0,1.0,2.0,10.0,0.0,0.0,0.0,0.0,-0.883889150689356,1.0,1.0,12.0,1.0,1.4138173322426155,0.0256410256410256,2.2,1.055,0.1932841425000658,0.1166014974488911
131,Trey Sermon,2024.0,8.0,35.0,160.0,0.0,0.0,0.0,7.0,-1.1124951226762183,3.0,6.0,6.0,0.0,-3.0399064863951426,0.0387096774193548,17.3,1.055,0.1932841425000658,0.003855740594587442
132,Kevin Harris,2024.0,4.0,16.0,65.0,1.0,0.0,0.0,2.0,-2.280369054118637,3.0,3.0,59.0,2.0,4.877603708358947,0.0566037735849056,18.3,0.225,-0.8861279794986687,0.21769250884728378
133,Keaontay Ingram,2024.0,7.0,35.0,74.0,0.0,0.0,0.0,4.0,-11.316711037424264,4.0,4.0,31.0,1.0,0.3377586557762697,0.0421052631578947,10.0,0.985,0.1022493852230641,0.06353995969915903
140,Evan Hull,2024.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.4869537617778406,1.0,1.0,3.0,0.0,-0.1081181430490687,0.0256410256410256,0.7000000000000001,0.795,-0.144844955957369,0.004435820038681734
141,Chris Rodriguez Jr.,2024.0,8.0,51.0,247.0,2.0,1.0,1.0,14.0,-3.4841602042724844,2.0,2.0,19.0,1.0,0.4543300392106175,0.027027027027027,35.9,0.915,0.0112146279460625,0.10137276067373885
145,Emanuel Wilson,2024.0,7.0,26.0,121.0,0.0,0.0,0.0,4.0,-2.255432304693386,5.0,6.0,46.0,2.0,2.485812561964849,0.0410958904109589,15.5,0.915,0.0112146279460625,0.18075102398353507
146,Elijah Dotson,2024.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,-3.1967907728394493,2.0,2.0,14.0,0.0,0.3764428426511585,0.0512820512820512,1.9,0.915,0.0112146279460625,0.1166014974488911
