,name,height,weight,age,position,feature_1,feature_2,feature_3,actual_salary,predicted_salary
119,Danny Gray,74.0,199.0,26.0,WR,10.0,0.06,1.0,0.22,0.8
120,Quintez Cephus,73.0,205.0,27.0,WR,15.0,0.08,1.0,1.06,0.79
121,Laviska Shenault,,,,WR,272.0,0.12,10.0,1.29,2.42
122,D.J. Moore,71.0,215.0,28.0,WR,888.0,0.28,44.0,27.5,18.4
124,Quez Watkins,74.0,190.0,26.0,WR,154.0,0.12,8.0,1.29,2.24
125,Devin Duvernay,71.0,210.0,27.0,WR,18.0,0.06,0.0,4.25,0.85
126,Darnell Mooney,71.0,172.0,27.0,WR,414.0,0.15,20.0,13.0,2.57
127,Justin Jefferson,75.0,192.0,25.0,WR,1074.0,0.27,51.0,35.0,27.17
128,Chase Claypool,76.0,227.0,26.0,WR,77.0,0.1,4.0,1.23,0.76
129,Van Jefferson,74.0,197.0,28.0,WR,209.0,0.1,10.0,1.29,0.71
130,CeeDee Lamb,74.0,189.0,26.0,WR,1859.0,0.3,87.0,34.0,31.58
131,Jalen Reagor,71.0,195.0,26.0,WR,138.0,0.09,5.0,1.29,0.79
132,Jerry Jeudy,73.0,192.0,26.0,WR,758.0,0.2,28.0,17.5,13.27
133,Brandon Aiyuk,73.0,206.0,27.0,WR,1491.0,0.23,70.0,30.0,26.29
134,K.J. Osborn,72.0,200.0,27.0,WR,540.0,0.14,28.0,4.0,3.5
135,Jauan Jennings,75.0,214.0,27.0,WR,376.0,0.11,20.0,5.94,2.79
136,Gunner Olszewski,72.0,190.0,28.0,WR,0.0,0.03,0.0,1.12,0.77
137,Donovan Peoples-Jones,74.0,208.0,26.0,WR,155.0,0.06,7.0,1.3,1.01
138,Nick Westbrook-Ikhine,75.0,215.0,28.0,WR,370.0,0.12,18.0,2.0,2.98
139,Mason Kinsey,72.0,195.0,26.0,WR,6.0,0.04,0.0,0.97,1.0
140,Isaiah Hodgins,76.0,209.0,26.0,WR,230.0,0.08,12.0,1.03,1.81
141,James Proche,72.0,193.0,28.0,WR,0.0,0.09,0.0,1.12,0.78
142,Trishton Jackson,73.0,191.0,27.0,WR,9.0,0.05,0.0,0.98,1.18
143,Miles Boykin,76.0,220.0,28.0,WR,17.0,0.04,0.0,1.29,0.83
144,A.J. Brown,72.0,226.0,27.0,WR,1456.0,0.3,70.0,32.0,28.45
145,Marquise Brown,69.0,170.0,27.0,WR,574.0,0.25,32.0,7.0,5.59
146,Tyler Johnson,74.0,205.0,26.0,WR,8.0,0.13,1.0,1.13,1.91
147,Collin Johnson,78.0,215.0,27.0,WR,11.0,0.03,1.0,1.06,0.78
148,Justyn Ross,76.0,205.0,25.0,WR,53.0,0.06,2.0,0.3,0.9
149,Tim Jones,73.0,202.0,26.0,WR,83.0,0.06,4.0,0.98,0.88
150,Ronnie Bell,72.0,190.0,25.0,WR,68.0,0.06,5.0,0.22,1.52
151,A.T. Perry,77.0,205.0,25.0,WR,246.0,0.07,10.0,0.22,3.03
152,Jason Brownlee,75.0,202.0,26.0,WR,56.0,0.06,2.0,0.22,0.87
153,Tyquan Thornton,75.0,180.0,24.0,WR,91.0,0.08,3.0,0.22,0.87
154,Erik Ezukanma,75.0,220.0,25.0,WR,0.0,0.03,0.0,1.04,0.78
155,Rashid Shaheed,72.0,180.0,26.0,WR,719.0,0.14,27.0,3.09,8.11
