,name,height,weight,age,position,feature_1,feature_2,feature_3,actual_salary,predicted_salary
172,Ihmir Smith-Marsette,73.0,179.0,25.0,WR,24.5,0.06,51.0,1.41,0.92
173,Jaylen Waddle,70.0,182.0,26.0,WR,130.6,0.22,1045.0,28.25,18.06
174,Nico Collins,76.0,222.0,26.0,WR,203.2,0.23,1461.0,24.25,22.25
175,Rashod Bateman,74.0,210.0,25.0,WR,48.6,0.13,408.0,6.44,2.95
176,Mike Strachan,77.0,205.0,27.0,WR,4.5,0.05,45.0,0.3,1.03
177,Darius Slayton,73.0,190.0,28.0,WR,101.0,0.16,770.0,6.2,4.32
178,DeVante Parker,75.0,216.0,32.0,WR,39.4,0.14,394.0,1.21,1.92
179,Greg Dortch,67.0,173.0,26.0,WR,40.5,0.14,280.0,1.12,2.25
180,Mack Hollins,76.0,221.0,31.0,WR,25.1,0.1,251.0,2.6,0.99
181,Mike Williams,76.0,218.0,30.0,WR,31.2,0.22,249.0,10.0,6.87
187,Isaiah McKenzie,68.0,173.0,30.0,WR,9.6,0.07,82.0,1.38,1.08
188,Kendrick Bourne,73.0,203.0,29.0,WR,63.0,0.2,406.0,6.5,4.91
189,Trent Taylor,68.0,181.0,30.0,WR,-0.2,0.04,0.0,1.12,0.84
190,Curtis Samuel,71.0,195.0,28.0,WR,95.2,0.16,613.0,8.0,2.76
191,Tyreek Hill,70.0,185.0,31.0,WR,269.6,0.32,1861.0,30.0,27.51
192,Tyler Boyd,74.0,203.0,30.0,WR,77.8,0.17,667.0,2.4,2.83
193,Laquon Treadwell,74.0,215.0,29.0,WR,1.6,0.12,16.0,1.21,0.71
194,Demarcus Robinson,73.0,203.0,30.0,WR,65.8,0.15,415.0,4.0,4.68
195,Robbie Chosen,75.0,190.0,31.0,WR,18.6,0.04,126.0,1.21,0.94
196,Alex Erickson,72.0,195.0,32.0,WR,29.2,0.1,232.0,0.38,1.15
197,Chris Moore,73.0,200.0,31.0,WR,46.3,0.08,424.0,2.0,2.0
198,Jamal Agnew,70.0,190.0,30.0,WR,26.3,0.1,225.0,0.38,0.85
199,Sterling Shepard,70.0,201.0,32.0,WR,12.3,0.07,57.0,1.38,0.78
200,Phillip Dorsett,70.0,192.0,32.0,WR,0.0,0.05,0.0,1.21,0.84
201,Chris Conley,75.0,205.0,32.0,WR,10.4,0.08,104.0,1.55,0.94
202,Jamison Crowder,69.0,177.0,31.0,WR,21.9,0.07,159.0,1.26,1.1
203,Damiere Byrd,69.0,180.0,32.0,WR,0.0,0.06,0.0,1.21,0.88
204,DeAndre Carter,68.0,190.0,32.0,WR,5.7,0.03,39.0,1.2,0.87
205,Stefon Diggs,72.0,191.0,31.0,WR,174.8,0.29,1256.0,22.52,18.86
206,Nelson Agholor,72.0,198.0,31.0,WR,73.2,0.1,432.0,3.75,2.51
207,Elijah Cooks,76.0,210.0,26.0,WR,3.8,0.05,38.0,0.22,0.96
208,Allen Robinson,74.0,220.0,31.0,WR,29.2,0.11,292.0,1.31,1.16
209,Mike Evans,77.0,231.0,31.0,WR,229.0,0.25,1450.0,20.5,24.92
211,Willie Snead,71.0,205.0,32.0,WR,1.4,0.05,14.0,1.21,0.84
212,Tyler Lockett,70.0,182.0,32.0,WR,123.4,0.22,894.0,15.0,8.27
213,David Moore,72.0,215.0,30.0,WR,29.1,0.04,171.0,1.29,1.6
215,Noah Brown,74.0,225.0,29.0,WR,68.6,0.16,567.0,4.0,3.81
216,JuJu Smith-Schuster,73.0,215.0,28.0,WR,32.0,0.13,260.0,1.21,1.65
217,Malik Taylor,74.0,216.0,29.0,WR,1.3,0.05,13.0,1.06,0.86
218,Jalen Guyton,73.0,212.0,27.0,WR,14.9,0.08,89.0,1.29,0.87
219,Lil'Jordan Humphrey,76.0,225.0,27.0,WR,34.2,0.06,162.0,1.12,1.62
220,Trenton Irwin,74.0,207.0,29.0,WR,37.6,0.1,316.0,1.5,1.92
221,Scott Miller,71.0,174.0,27.0,WR,28.1,0.06,161.0,1.29,1.59
223,Deonte Harty,66.0,170.0,27.0,WR,30.7,0.05,187.0,1.29,1.52
224,Olamide Zaccheaus,68.0,193.0,27.0,WR,28.9,0.06,169.0,1.29,1.49
225,Cody Thompson,74.0,205.0,29.0,WR,1.0,0.04,10.0,0.98,0.84
226,Mecole Hardman,70.0,187.0,27.0,WR,24.4,0.09,186.0,1.12,1.03
227,Keelan Doss,75.0,215.0,29.0,WR,3.3,0.16,33.0,1.06,2.89
228,D.J. Montgomery,73.0,201.0,28.0,WR,11.6,0.13,56.0,0.22,1.61
229,Steven Sims,70.0,176.0,28.0,WR,8.6,0.04,25.0,1.32,0.88
230,KhaDarel Hodge,74.0,205.0,30.0,WR,23.2,0.05,232.0,1.29,0.99
231,Calvin Ridley,73.0,190.0,30.0,WR,153.9,0.22,1016.0,23.0,17.9
232,Michael Gallup,73.0,200.0,29.0,WR,64.1,0.1,521.0,1.75,1.72
233,Brandon Powell,68.0,189.0,29.0,WR,40.1,0.09,324.0,2.0,1.25
234,Trent Sherfield,73.0,219.0,29.0,WR,15.3,0.07,93.0,1.79,0.92
235,Braxton Berrios,69.0,190.0,29.0,WR,30.9,0.07,238.0,2.15,1.39
236,Cedrick Wilson Jr.,,,,WR,51.3,0.11,333.0,2.88,1.52
237,Ray-Ray McCloud,69.0,190.0,28.0,WR,19.1,0.07,161.0,2.5,1.13
238,Courtland Sutton,76.0,216.0,29.0,WR,131.2,0.2,772.0,13.75,12.65
239,Keith Kirkwood,75.0,210.0,30.0,WR,9.7,0.04,37.0,1.12,0.95
240,Byron Pringle,73.0,205.0,31.0,WR,16.1,0.05,161.0,1.12,0.98
241,Equanimeous St. Brown,77.0,214.0,28.0,WR,6.2,0.05,62.0,1.12,1.11
242,Marquez Valdes-Scantling,76.0,207.0,30.0,WR,54.3,0.08,443.0,2.25,1.79
243,River Cracraft,72.0,200.0,30.0,WR,21.4,0.07,154.0,1.29,1.0
244,Josh Reynolds,75.0,196.0,30.0,WR,108.0,0.12,740.0,4.5,7.52
245,Zay Jones,74.0,200.0,30.0,WR,44.1,0.18,321.0,2.25,3.41
246,Andy Isabella,69.0,190.0,28.0,WR,0.0,0.03,0.0,1.13,0.84
247,Shedrick Jackson,74.0,202.0,25.0,WR,0.0,0.03,0.0,0.92,0.84
