year_signed,SAD,smoothed_apy
1994,0.0,2.863083
1995,2.6329329999999995,2.8630829999999996
1996,1.5472259666666666,2.0732030999999997
1997,2.3633125,2.3662302699999995
1998,3.7123308536666664,2.4683674389999997
1999,3.8841499999999995,3.1273212072999996
2000,2.6881996725549993,3.451869845109999
2001,1.554752772192333,3.0115583165769992
2002,2.792107959465367,2.7993541216038995
2003,1.836225,3.2096156851227295
2004,2.6883326725390506,3.2914884795859107
2005,2.323249836281949,3.0266996902555916
2006,2.7174199332947286,2.973586733178914
2007,1.8498895038822456,2.87043267572524
2008,2.3390079650752624,2.716392180150525
2009,2.0014800392694783,2.5143174386053673
2010,1.9490979416849492,2.3224875927380424
2011,1.9212389511138652,2.0161542649166293
2012,1.885500372426769,1.8840489404416405
2013,1.1872814312378306,1.792312681523434
2014,1.0967660045641532,1.5449038442795184
2015,1.1803750031598268,1.3924039576623295
2016,0.9721126290051251,1.3211868782376464
2017,0.8616247049983924,1.2107339714542504
2018,0.8756116968305414,1.093890052745248
2019,0.6963289686158655,1.0297117094491461
2020,0.8510208494010177,0.9562373413416749
2021,0.6197717778262946,0.9526962669765555
2022,0.4885895115921385,0.9061949784328847
2023,0.6838319766659889,0.8718444511490759
2024,0.7689370751767164,0.9063766567879596
2025,1.2062474151857945,0.9712757875605604
