,name,height,weight,age,position,feature_1,feature_2,feature_3,actual_salary,predicted_salary
232,Trent Sherfield,73.0,219.0,29.0,WR,15.3,0.07,93.0,1.79,0.94
233,Braxton Berrios,69.0,190.0,29.0,WR,30.9,0.07,238.0,2.15,1.51
234,Cedrick Wilson Jr.,,,,WR,51.3,0.11,333.0,2.88,1.43
235,Ray-Ray McCloud,69.0,190.0,28.0,WR,19.1,0.07,161.0,2.5,1.19
236,Courtland Sutton,76.0,216.0,29.0,WR,131.2,0.2,772.0,13.75,10.68
237,Keith Kirkwood,75.0,210.0,30.0,WR,9.7,0.04,37.0,1.12,0.92
238,Byron Pringle,73.0,205.0,31.0,WR,16.1,0.05,161.0,1.12,1.14
239,Equanimeous St. Brown,77.0,214.0,28.0,WR,6.2,0.05,62.0,1.12,1.08
240,Marquez Valdes-Scantling,76.0,207.0,30.0,WR,54.3,0.08,443.0,2.25,1.81
241,River Cracraft,72.0,200.0,30.0,WR,21.4,0.07,154.0,1.29,1.03
242,Josh Reynolds,75.0,196.0,30.0,WR,108.0,0.12,740.0,4.5,8.14
243,Zay Jones,74.0,200.0,30.0,WR,44.1,0.18,321.0,2.25,3.33
244,Andy Isabella,69.0,190.0,28.0,WR,0.0,0.03,0.0,1.13,0.79
245,Shedrick Jackson,74.0,202.0,25.0,WR,0.0,0.03,0.0,0.92,0.79
